task_id,category,difficulty,description,bioclaw_score,biomni_score,chatgpt_score,notes
T01,Sequence & Variant Analysis,Easy,UniProt accession for human TP53,2,2,2,
T02,Sequence & Variant Analysis,Easy,BLAST KRAS fragment,2,2,0,
T03,Sequence & Variant Analysis,Medium,ClinVar BRCA1 5382insC classification,1,1,1,
T04,Sequence & Variant Analysis,Medium,Ensembl coordinates for EGFR,2,2,2,
T05,Drug-Target Discovery,Easy,ChEMBL approved drugs targeting EGFR,2,2,1,
T06,Drug-Target Discovery,Easy,PubChem properties for Imatinib,2,2,2,
T07,Drug-Target Discovery,Medium,Open Targets top BRAF disease associations,2,1,0,
T08,Drug-Target Discovery,Hard,EGFR+HER2 dual inhibitors,2,2,2,
T09,Literature & Clinical Mining,Easy,PubMed CRISPR Cas9 cancer therapy count,1,1,1,
T10,Literature & Clinical Mining,Easy,ClinicalTrials.gov TNBC recruiting count,0,2,1,
T11,Literature & Clinical Mining,Medium,GEO dataset GSE68849 metadata,0,0,0,Regrade needed after corrected NCBI GEO metadata
T12,Literature & Clinical Mining,Medium,Europe PMC AlphaFold2 citation count,2,2,2,
T13,Transcriptomics & Single-cell,Easy,CellMarker CD8+ T cell markers,2,2,2,
T14,Transcriptomics & Single-cell,Medium,GEO GSE159929 top DEGs COVID-19,2,1,0,
T15,Transcriptomics & Single-cell,Medium,Enrichr KEGG pathways for gene list,2,2,1,
T16,Transcriptomics & Single-cell,Hard,HCA ACE2-expressing lung cell types,2,1,0,
T17,Structural & Protein Biology,Easy,AlphaFold pLDDT for EGFR,2,1,2,
T18,Structural & Protein Biology,Easy,STRING top TP53 interaction partners,2,2,1,
T19,Structural & Protein Biology,Medium,RCSB PDB highest-resolution CDK2 structure,2,2,2,
T20,Structural & Protein Biology,Hard,UniProt EGFR phosphorylation sites,2,2,2,
T21,Pathway & Systems Biology,Easy,KEGG insulin signaling pathway genes,2,2,2,
T22,Pathway & Systems Biology,Easy,Reactome WNT pathway top-level parent,2,2,2,
T23,Pathway & Systems Biology,Medium,STRING PPI hub genes in glioblastoma,2,1,0,
T24,Pathway & Systems Biology,Hard,QuickGO BRCA1 biological process GO terms,2,1,0,
