task_id,score,max_score,judgment,reason
T01,2,2,complete,"Correct TP53 / P04637 / human, UniProt cited."
T02,0,2,failed,"Correct KRAS answer, but BLAST was not actually used; rubric requires BLAST."
T03,1,2,partial,"Pathogenic classification and condition were correct, but ClinVar variant ID was wrong: wrote 17677 instead of expected 17661."
T04,2,2,complete,"EGFR chromosome 7 coordinates were within +/-1000 bp and assembly was stated."
T05,1,2,partial,"Correct EGFR inhibitors were named, but no verified count was reported."
T06,2,2,complete,"Formula, molecular weight, and SMILES were given correctly."
T07,0,2,failed,"Did not retrieve the top 3 Open Targets disease associations and scores."
T08,2,2,complete,"Lapatinib and neratinib with indications; acceptable under rubric."
T09,1,2,partial,"Provided a PMID but no verified PubMed count."
T10,1,2,partial,"Provided an NCT trial but no verified recruiting-trial count."
T11,0,2,regrade_needed,"Original GPT-5.5 Thinking Extended grading marked this failed under an older incorrect rubric. The response gave a pDC influenza dataset, which may match the later NCBI GEO correction; raw output should be regraded before final C4 scoring."
T12,2,2,complete,"Nature and citation count >5000 from Europe PMC."
T13,2,2,complete,"Listed 5+ correct CD8 cytotoxic T-cell markers including CD8A/CD8B."
T14,0,2,failed,"Rejected the task instead of returning plausible COVID-vs-control DEGs; benchmark expected ISGs such as IFI27, ISG15, IFI44L, RSAD2, MX1."
T15,1,2,partial,"Correct likely pathways, but missing adjusted p-values and no successful API result."
T16,0,2,failed,"Missed AT2 cells, which the rubric requires for credit."
T17,2,2,complete,"pLDDT was in accepted range and AlphaFold structure URL was given."
T18,1,2,partial,"Listed 5 high-score interactors, but several did not match the expected accepted TP53 partner set."
T19,2,2,complete,"Valid CDK2 inhibitor complex, resolution <2.0 Angstrom, ligand named."
T20,2,2,complete,"5 correct EGFR phosphorylation sites listed."
T21,2,2,complete,"Gene count in accepted 100-160 range and 5 correct pathway genes."
T22,2,2,complete,"Correct Reactome top-level pathway and stable ID."
T23,0,2,failed,"No STRING degree calculation returned."
T24,0,2,failed,"Only 3 GO terms and no total count; rubric needs count >10 and 5 terms, or at least 3-4 terms for partial."
